dose	response
1	0	0.0862
2	0	0.7249
3	0	0.4648
4	0	0.884
5	1	-0.3005
6	1	-0.1687
7	1	-0.1114
8	1	0.2013
9	2	-0.1287
10	2	-0.0377
11	2	-0.115
12	2	0.6744
13	3	0.9737
14	3	1.1576
15	3	2.0301
16	3	0.6092
17	4	1.7215
18	4	3.0122
19	4	1.6593
20	4	1.3445
21	5	0.8423
22	5	1.0553
23	5	0.4842
24	5	0.5424
25	6	-0.1887
26	6	0.1735
27	6	0.0341
28	6	-0.1812
29	7	0.084
30	7	1.3232
31	7	1.2234
32	7	1.8019
33	8	1.2275
34	8	2.0121
35	8	3.0307
36	8	2.2138
37	9	2.4578
38	9	2.0528
39	9	1.8339
40	9	2.2228
41	10	-0.1637
42	10	0.5668
43	10	1.0399
44	10	1.4073
